sync_index,cam_id,frame_index,frame_time,object_id,keypoint_id,img_loc_x,img_loc_y,obj_loc_x,obj_loc_y,obj_loc_z
845,0,845,27.153402,0,21,171.195648,389.800964,0.136000,0.136000,0.000000
845,0,845,27.153402,0,22,213.835815,387.936371,0.170000,0.136000,0.000000
845,0,845,27.153402,0,23,255.817749,387.426758,0.204000,0.136000,0.000000
845,1,845,27.153402,0,4,1396.467896,442.118378,0.170000,0.034000,0.000000
845,1,845,27.153402,0,5,1436.392456,443.968201,0.204000,0.034000,0.000000
845,1,845,27.153402,0,9,1354.066162,486.281586,0.136000,0.068000,0.000000
845,1,845,27.153402,0,15,1352.625977,531.040161,0.136000,0.102000,0.000000
845,1,845,27.153402,0,18,1226.048828,574.708740,0.034000,0.136000,0.000000
845,1,845,27.153402,0,21,1351.420044,576.477844,0.136000,0.136000,0.000000
845,1,845,27.153402,0,22,1392.089478,577.352844,0.170000,0.136000,0.000000
845,1,845,27.153402,0,23,1432.340820,577.623535,0.204000,0.136000,0.000000
850,0,850,27.314073,0,1,79.207138,272.023254,0.068000,0.034000,0.000000
850,0,850,27.314073,0,2,122.400703,271.777466,0.102000,0.034000,0.000000
850,0,850,27.314073,0,3,165.264313,271.411774,0.136000,0.034000,0.000000
850,0,850,27.314073,0,4,206.923828,271.588104,0.170000,0.034000,0.000000
850,0,850,27.314073,0,5,249.458160,270.384796,0.204000,0.034000,0.000000
850,0,850,27.314073,0,7,81.069260,312.838928,0.068000,0.068000,0.000000
850,0,850,27.314073,0,8,124.007965,312.432648,0.102000,0.068000,0.000000
850,0,850,27.314073,0,9,167.484314,311.518158,0.136000,0.068000,0.000000
850,0,850,27.314073,0,10,209.260818,311.313232,0.170000,0.068000,0.000000
850,0,850,27.314073,0,11,251.230331,310.387756,0.204000,0.068000,0.000000
850,0,850,27.314073,0,12,39.406265,355.029785,0.034000,0.102000,0.000000
850,0,850,27.314073,0,13,82.351830,353.804840,0.068000,0.102000,0.000000
850,0,850,27.314073,0,14,126.252182,352.739349,0.102000,0.102000,0.000000
850,0,850,27.314073,0,15,168.209244,352.455444,0.136000,0.102000,0.000000
850,0,850,27.314073,0,16,210.964722,351.633423,0.170000,0.102000,0.000000
850,0,850,27.314073,0,17,252.460526,350.739044,0.204000,0.102000,0.000000
850,0,850,27.314073,0,20,126.773048,393.360565,0.102000,0.136000,0.000000
850,0,850,27.314073,0,21,170.643509,392.619202,0.136000,0.136000,0.000000
